exp_id	description	controller	n_smart	penetration	wave_amp_ms	vel_var_ms	throughput_vph	fuel_ml_km	min_spacing_m	notes
E00	All-IDM baseline	IDM	0	0.000	8.17	2.89	1039.4	130.65	1.79	canonical Sugiyama config
T01	IDM 4.5% (1/22)	IDM	1	0.045	7.15	2.6	1069.5	126.09	1.79	equally spaced
T02	IDM 18.2% (4/22)	IDM	4	0.182	8.08	2.87	1042.7	130.01	1.76	equally spaced
T03	FollowerStopper 4.5% (1/22)	FollowerStopper	1	0.045	8.28	2.86	863.8	132.44	1.77	equally spaced
T04	FollowerStopper 18.2% (4/22)	FollowerStopper	4	0.182	4.44	1.67	529.4	119.98	1.78	equally spaced
T05	PIWithSaturation 4.5% (1/22)	PIWithSaturation	1	0.045	8.77	3.05	912.8	135.41	1.77	equally spaced
T06	PIWithSaturation 18.2% (4/22)	PIWithSaturation	4	0.182	30.13	15.77	3962.8	122.85	0.01	equally spaced
T07	ACC 4.5% (1/22)	ACC	1	0.045	7.45	2.63	1008.5	126.47	1.79	equally spaced
T08	ACC 18.2% (4/22)	ACC	4	0.182	0.55	0.16	930.4	107.55	4.08	equally spaced
T09	ConstantVelocity 4.5% (1/22)	ConstantVelocity	1	0.045	0.46	0.13	2725.6	108.57	9.31	equally spaced
T10	ConstantVelocity 18.2% (4/22)	ConstantVelocity	4	0.182	0.33	0.08	2747.8	107.31	9.42	equally spaced
T11	All-FollowerStopper 100% (22/22)	FollowerStopper	22	1.000	0.0	0.0	7.6	100.0	5.12	ceiling check: can wave be fully suppressed?
T12	All-ACC 100% (22/22)	ACC	22	1.000	0.0	0.0	283.2	100.0	5.45	ceiling check: can wave be fully suppressed?
H001	FS 1/22 (4.5%)	FollowerStopper	1	0.045	8.28	2.86	863.8	132.44	1.77	 | REVERT (best=0.55)
H002	FS 2/22 (9.1%)	FollowerStopper	2	0.091	5.46	1.78	754.0	122.19	1.83	 | REVERT (best=0.55)
H003	FS 3/22 (13.6%)	FollowerStopper	3	0.136	5.0	1.87	644.9	120.96	1.83	 | REVERT (best=0.55)
H004	FS 4/22 (18.2%)	FollowerStopper	4	0.182	4.44	1.67	529.4	119.98	1.78	 | REVERT (best=0.55)
H005	FS 6/22 (27.3%)	FollowerStopper	6	0.273	0.29	0.07	310.8	106.42	2.54	 | REVERT (best=0.55)
H006	FS 8/22 (36.4%)	FollowerStopper	8	0.364	0.23	0.06	185.0	105.51	2.29	 | REVERT (best=0.55)
H007	FS 11/22 (50.0%)	FollowerStopper	11	0.500	0.2	0.04	84.1	104.1	2.04	 | REVERT (best=0.55)
H008	FS 22/22 (100.0%)	FollowerStopper	22	1.000	0.0	0.0	7.6	100.0	5.12	 | KEEP (best=0.00)
H009	IDM smart 1/22 (control)	IDM	1	0.045	7.15	2.6	1069.5	126.09	1.79	 | REVERT (best=0.00)
H010	IDM smart 4/22 (control)	IDM	4	0.182	8.08	2.87	1042.7	130.01	1.76	 | REVERT (best=0.00)
H011	PI 1/22 (4.5%)	PIWithSaturation	1	0.045	8.77	3.05	912.8	135.41	1.77	 | REVERT (best=0.00)
H012	PI 4/22 (18.2%)	PIWithSaturation	4	0.182	30.13	15.77	3962.8	122.85	0.01	 | REVERT (best=0.00)
H013	ACC 1/22 (4.5%)	ACC	1	0.045	7.45	2.63	1008.5	126.47	1.79	 | REVERT (best=0.00)
H014	ACC 4/22 (18.2%)	ACC	4	0.182	0.55	0.16	930.4	107.55	4.08	 | REVERT (best=0.00)
H015	ConstVel 1/22 (4.5%)	ConstantVelocity	1	0.045	0.46	0.13	2725.6	108.57	9.31	 | REVERT (best=0.00)
H016	ConstVel 4/22 (18.2%)	ConstantVelocity	4	0.182	0.33	0.08	2747.8	107.31	9.42	 | REVERT (best=0.00)
H017	FS v_des=8 4/22	FollowerStopper	4	0.182	0.32	0.08	381.1	107.19	2.71	 | REVERT (best=0.00)
H018	FS v_des=5 4/22	FollowerStopper	4	0.182	0.3	0.07	293.0	107.13	2.48	 | REVERT (best=0.00)
H019	FS v_des=25 4/22	FollowerStopper	4	0.182	8.44	2.72	628.2	137.23	1.79	 | REVERT (best=0.00)
H020	FS s_st=2 4/22	FollowerStopper	4	0.182	3.6	1.43	610.4	115.38	1.85	 | REVERT (best=0.00)
H021	FS s_st=8 4/22	FollowerStopper	4	0.182	4.64	1.67	445.1	122.34	1.79	 | REVERT (best=0.00)
H022	FS s_go=20 4/22	FollowerStopper	4	0.182	6.7	2.27	719.8	136.25	0.62	 | REVERT (best=0.00)
H023	FS s_go=50 4/22	FollowerStopper	4	0.182	0.3	0.08	345.7	107.17	2.62	 | REVERT (best=0.00)
H024	FS k_v=0.2 4/22	FollowerStopper	4	0.182	0.37	0.1	3963.8	107.77	16.42	 | REVERT (best=0.00)
H025	FS k_v=1.0 4/22	FollowerStopper	4	0.182	0.42	0.11	508.1	107.35	3.01	 | REVERT (best=0.00)
H026	FS k_v=2.0 4/22	FollowerStopper	4	0.182	0.37	0.09	507.3	107.33	3.04	 | REVERT (best=0.00)
H027	PI k_p=0.1 4/22	PIWithSaturation	4	0.182	62.96	18.01	11039.9	133.2	0.01	 | REVERT (best=0.00)
H028	PI k_p=0.8 4/22	PIWithSaturation	4	0.182	6.57	2.33	836.2	126.49	1.78	 | REVERT (best=0.00)
H029	PI k_i=0.005 4/22	PIWithSaturation	4	0.182	6.66	2.32	746.6	133.84	0.18	 | REVERT (best=0.00)
H030	PI k_i=0 4/22	PIWithSaturation	4	0.182	6.06	2.16	763.0	133.25	1.73	 | REVERT (best=0.00)
H031	PI k_i=0.05 4/22	PIWithSaturation	4	0.182	48.03	11.13	7689.8	117.96	0.01	 | REVERT (best=0.00)
H032	PI T_des=0.8 4/22	PIWithSaturation	4	0.182	119.95	36.37	11391.2	152.66	0.01	 | REVERT (best=0.00)
H033	PI T_des=2.5 4/22	PIWithSaturation	4	0.182	3.01	1.07	777.8	110.74	1.83	 | REVERT (best=0.00)
H034	ACC T_des=0.8 4/22	ACC	4	0.182	9.55	3.3	925.8	139.92	1.03	 | REVERT (best=0.00)
H035	ACC T_des=1.0 4/22	ACC	4	0.182	8.57	3.01	933.6	134.31	1.76	 | REVERT (best=0.00)
H036	ACC T_des=1.4 4/22	ACC	4	0.182	4.17	1.7	960.3	115.43	1.81	 | REVERT (best=0.00)
H037	ACC T_des=2.5 4/22	ACC	4	0.182	0.39	0.1	838.0	107.43	3.99	 | REVERT (best=0.00)
H038	ACC T_des=3.0 4/22	ACC	4	0.182	0.36	0.09	782.5	107.39	3.84	 | REVERT (best=0.00)
H039	40veh/400m 4FS (10%)	FollowerStopper	4	0.100	4.9	1.59	649.1	119.32	1.8	 | REVERT (best=0.00)
H040	40veh/400m 8FS (20%)	FollowerStopper	8	0.200	0.72	0.19	376.6	107.14	2.35	 | REVERT (best=0.00)
H041	100veh/2000m baseline	IDM	0	0.000	3.87	1.05	2279.7	110.55	11.34	 | REVERT (best=0.00)
H042	100veh/1000m baseline	IDM	0	0.000	10.84	2.75	944.1	129.11	1.75	 | REVERT (best=0.00)
H043	100veh/1000m 5FS (5%)	FollowerStopper	5	0.050	7.32	2.45	765.0	130.37	1.77	 | REVERT (best=0.00)
H044	200veh/4000m 10FS (5%)	FollowerStopper	10	0.050	14.4	4.47	2006.1	117.71	0.01	 | REVERT (best=0.00)
H045	IDM T=0.7 baseline	IDM	0	0.000	10.54	3.61	1079.1	148.14	1.62	 | REVERT (best=0.00)
H046	IDM T=1.2 baseline	IDM	0	0.000	2.88	1.04	980.1	111.2	2.65	 | REVERT (best=0.00)
H047	IDM T=1.5 baseline	IDM	0	0.000	0.4	0.11	793.7	108.72	4.96	 | REVERT (best=0.00)
H048	IDM T=2.0 baseline	IDM	0	0.000	0.3	0.08	595.6	108.68	4.97	 | REVERT (best=0.00)
H049	IDM a=0.73 baseline	IDM	0	0.000	8.03	2.73	745.1	128.06	1.52	 | REVERT (best=0.00)
H050	IDM a=2.0 baseline	IDM	0	0.000	0.41	0.11	1189.7	108.93	5.01	 | REVERT (best=0.00)
H051	IDM b=1.0 baseline	IDM	0	0.000	0.49	0.14	1189.0	108.89	4.87	 | REVERT (best=0.00)
H052	IDM b=3.0 baseline	IDM	0	0.000	8.65	3.05	992.7	133.73	1.75	 | REVERT (best=0.00)
H053	IDM s0=1.0 baseline	IDM	0	0.000	0.62	0.19	1531.9	108.96	4.8	 | REVERT (best=0.00)
H054	IDM s0=4.0 baseline	IDM	0	0.000	4.56	1.48	376.9	128.53	3.25	 | REVERT (best=0.00)
H055	noise=0.0 baseline	IDM	0	0.000	5.92	2.33	1099.2	120.02	1.88	 | REVERT (best=0.00)
H056	noise=0.1 baseline	IDM	0	0.000	7.36	2.69	1067.0	126.28	1.85	 | REVERT (best=0.00)
H057	noise=0.5 baseline	IDM	0	0.000	8.23	2.89	1029.5	132.04	1.7	 | REVERT (best=0.00)
H058	noise=0.8 baseline	IDM	0	0.000	8.18	2.84	1010.3	135.52	1.61	 | REVERT (best=0.00)
H059	noise=1.0 baseline	IDM	0	0.000	7.7	2.64	988.9	137.72	1.62	 | REVERT (best=0.00)
H060	noise=0.5 FS 4/22	FollowerStopper	4	0.182	4.1	1.55	523.7	121.25	1.64	 | REVERT (best=0.00)
H061	noise=0.8 FS 4/22	FollowerStopper	4	0.182	4.01	1.44	515.5	125.54	1.5	 | REVERT (best=0.00)
H062	no perturbation	IDM	0	0.000	8.0	2.84	1048.3	129.61	1.8	 | REVERT (best=0.00)
H063	strong perturb -9	IDM	0	0.000	8.2	2.9	1038.2	130.75	1.78	 | REVERT (best=0.00)
H064	weak perturb -1	IDM	0	0.000	8.05	2.85	1045.6	129.92	1.8	 | REVERT (best=0.00)
H065	late perturb t=50	IDM	0	0.000	8.07	2.86	1044.4	130.05	1.79	 | REVERT (best=0.00)
H066	FS 4/22 clustered [0-3]	FollowerStopper	4	0.182	7.18	2.31	562.7	130.79	1.8	 | REVERT (best=0.00)
H067	FS 4/22 paired [0,1,11,12]	FollowerStopper	4	0.182	5.73	1.95	537.1	124.79	1.79	 | REVERT (best=0.00)
H068	FS 4/22 random seed=0 [10, 13, 14, 20]	FollowerStopper	4	0.182	8.06	2.55	559.9	135.96	1.76	 | REVERT (best=0.00)
H069	FS 4/22 random seed=1 [3, 13, 16, 19]	FollowerStopper	4	0.182	8.14	2.58	558.3	136.25	1.79	 | REVERT (best=0.00)
H070	FS 4/22 random seed=2 [0, 6, 12, 14]	FollowerStopper	4	0.182	7.13	2.33	546.3	131.26	1.79	 | REVERT (best=0.00)
H071	hetero v0 U(25,35) baseline	IDM	0	0.000	8.17	2.89	1039.4	130.61	1.78	hetero v0 U(25,35) | REVERT (best=0.00)
H072	hetero v0 U(20,40) baseline	IDM	0	0.000	8.16	2.89	1039.5	130.53	1.78	hetero v0 U(20,40) | REVERT (best=0.00)
H073	hetero v0 U(25,35) + 4 FS	FollowerStopper	4	0.182	4.44	1.66	529.3	119.96	1.78	hetero v0 U(25,35) | REVERT (best=0.00)
H074	FS 4/22 fuel-focus	FollowerStopper	4	0.182	4.44	1.67	529.4	119.98	1.78	primary=fuel | REVERT (best=0.00)
H075	ACC 4/22 throughput-focus	ACC	4	0.182	0.55	0.16	930.4	107.55	4.08	primary=throughput | REVERT (best=0.00)
H076	FS k_v=0.3 4/22 fuel-opt	FollowerStopper	4	0.182	2.8	4.3	3244.7	110.33	0.01	primary=fuel | REVERT (best=0.00)
H077	FS 6/22 fuel-vs-wave	FollowerStopper	6	0.273	0.29	0.07	310.8	106.42	2.54	 | REVERT (best=0.00)
H078	t_max=300 baseline	IDM	0	0.000	5.09	1.99	1127.6	118.3	1.79	 | REVERT (best=0.00)
H079	t_max=1200 baseline	IDM	0	0.000	8.36	2.95	1000.9	131.73	1.77	 | REVERT (best=0.00)
H080	t_max=300 FS 4/22	FollowerStopper	4	0.182	1.11	0.36	515.4	107.88	2.73	 | REVERT (best=0.00)
H081	dt=0.05 baseline	IDM	0	0.000	8.28	2.94	1032.7	131.45	1.8	 | REVERT (best=0.00)
H082	dt=0.2 baseline	IDM	0	0.000	7.61	2.66	1062.6	126.99	1.77	 | REVERT (best=0.00)
H083	dt=0.05 FS 4/22	FollowerStopper	4	0.182	5.46	1.96	537.0	124.3	1.82	 | REVERT (best=0.00)
H084	ACC 2/22 (9.1%)	ACC	2	0.091	5.27	1.9	1006.1	117.47	1.8	 | REVERT (best=0.00)
H085	ACC 6/22 (27.3%)	ACC	6	0.273	0.41	0.11	824.5	106.76	3.92	 | REVERT (best=0.00)
H086	FS 2/22 (9.1%)	FollowerStopper	2	0.091	5.46	1.78	754.0	122.19	1.83	 | REVERT (best=0.00)
H087	ACC 11/22 (50%)	ACC	11	0.500	0.26	0.06	607.2	104.87	3.4	 | REVERT (best=0.00)
H088	ACC k1=0.1 4/22	ACC	4	0.182	0.96	0.31	932.5	107.82	3.87	 | REVERT (best=0.00)
H089	ACC k1=0.6 4/22	ACC	4	0.182	0.5	0.14	929.7	107.54	4.15	 | REVERT (best=0.00)
H090	ACC k2=0.2 4/22	ACC	4	0.182	5.91	2.25	876.5	121.98	1.77	 | REVERT (best=0.00)
H091	ACC k2=1.0 4/22	ACC	4	0.182	0.54	0.15	930.9	107.66	4.11	 | REVERT (best=0.00)
H092	FS v_des=8 1/22	FollowerStopper	1	0.045	6.83	2.34	853.4	124.19	1.8	 | REVERT (best=0.00)
H093	FS s_st=2 s_go=15 1/22	FollowerStopper	1	0.045	8.94	3.12	972.0	134.74	0.01	 | REVERT (best=0.00)
H094	FS ring-tuned 1/22	FollowerStopper	1	0.045	8.27	2.95	956.6	130.6	1.04	 | REVERT (best=0.00)
H095	FS ring-tuned 4/22	FollowerStopper	4	0.182	7.35	2.63	833.5	124.76	1.06	 | REVERT (best=0.00)
H096	noise=0 FS 1/22	FollowerStopper	1	0.045	8.34	2.89	863.8	132.41	1.88	 | REVERT (best=0.00)
H097	noise=0 no-perturb	IDM	0	0.000	6.36	2.45	1089.6	121.83	1.88	 | REVERT (best=0.00)
H098	noise=0.5 ACC 4/22	ACC	4	0.182	1.1	0.33	926.4	112.61	3.62	 | REVERT (best=0.00)
H099	18veh/230m baseline	IDM	0	0.000	8.12	2.88	1467.4	127.69	1.79	 | REVERT (best=0.00)
H100	20veh/230m baseline	IDM	0	0.000	8.42	3.0	1249.3	129.33	1.79	 | REVERT (best=0.00)
H101	25veh/230m baseline	IDM	0	0.000	5.19	1.65	742.9	124.9	1.76	 | REVERT (best=0.00)
H102	30veh/230m baseline	IDM	0	0.000	2.52	0.74	290.4	115.77	1.79	 | REVERT (best=0.00)
H103	25veh/230m 5FS (20%)	FollowerStopper	5	0.200	0.31	0.08	221.9	106.93	2.21	 | REVERT (best=0.00)
H104	2FS+2ACC 4/22	Mixed(FS+ACC)	4	0.182	6.58	2.22	690.8	124.93	1.8	FS@[0, 5] ACC@[11, 16] | REVERT (best=0.00)
H105	1FS+1ACC 2/22	Mixed(FS+ACC)	2	0.091	7.33	2.54	850.4	126.95	1.79	FS@[0] ACC@[11] | REVERT (best=0.00)
C001	ACC T_des=0.8 6/22 (27.3%)	ACC	6	0.273	9.32	3.2	889.6	139.53	0.84	composition | wave_amp=9.32
C002	FS ring-tuned 6/22	FollowerStopper	6	0.273	5.89	2.09	741.2	131.92	1.79	composition | wave_amp=5.89
C003	ACC 4/22-equiv on 100/1000 (18 ACC)	ACC	18	0.180	1.08	0.23	831.2	107.67	3.25	composition transfer test | wave_amp=1.08
C004	ACC 4/22 noise=0.5	ACC	4	0.182	1.1	0.33	926.4	112.61	3.62	composition noise robustness | wave_amp=1.10
C005	ACC T_des=0.8 k2=1.0 4/22	ACC	4	0.182	7.22	2.6	1000.4	127.26	1.78	composition gains | wave_amp=7.22
C006	FS ring-tuned 8/22	FollowerStopper	8	0.364	6.44	2.3	693.1	127.56	1.34	composition | wave_amp=6.44
C007	ACC T_des=1.0 3/22	ACC	3	0.136	8.0	2.86	972.2	131.19	1.76	composition | wave_amp=8.00
C008	ACC T_des=0.8 3/22	ACC	3	0.136	9.13	3.18	963.7	137.1	1.15	composition | wave_amp=9.13
C009	ACC T_des=0.8 2/22	ACC	2	0.091	8.87	3.11	983.4	135.31	1.29	composition | wave_amp=8.87
C010	2ACC(T=0.8)+2FS(ring) 4/22	Mixed	4	0.182	7.74	2.75	851.5	129.29	1.0	composition mixed
R001	ACC 4/22 seed=42	ACC	4	0.182	0.55	0.16	930.4	107.55	4.08	multi-seed replication | seed=42
R002	ACC 4/22 seed=0	ACC	4	0.182	1.05	0.33	929.6	107.94	3.85	multi-seed replication | seed=0
R003	ACC 4/22 seed=1	ACC	4	0.182	0.85	0.26	930.0	107.7	3.93	multi-seed replication | seed=1
R004	ACC 4/22 seed=2	ACC	4	0.182	1.24	0.4	928.3	108.1	3.76	multi-seed replication | seed=2
R005	ACC 4/22 seed=100	ACC	4	0.182	0.98	0.31	929.7	107.83	3.96	multi-seed replication | seed=100
R006	ACC 3/22 seed=42	ACC	3	0.136	1.77	0.62	984.8	109.15	3.39	multi-seed replication | seed=42
R007	ACC 3/22 seed=0	ACC	3	0.136	2.1	0.77	982.1	109.75	3.11	multi-seed replication | seed=0
R008	ACC 3/22 seed=1	ACC	3	0.136	2.17	0.8	982.1	109.8	2.75	multi-seed replication | seed=1
R009	ACC 3/22 seed=2	ACC	3	0.136	1.94	0.69	982.8	109.39	3.1	multi-seed replication | seed=2
R010	ACC 3/22 seed=100	ACC	3	0.136	2.39	0.86	980.5	110.11	2.81	multi-seed replication | seed=100
R011	ACC 4/22 dt=0.05	ACC	4	0.182	0.83	0.27	930.6	107.58	3.98	dt sensitivity check
R012	ACC 4/22 clustered [0-3]	ACC	4	0.182	2.8	0.96	916.3	110.46	2.7	placement sensitivity | indices=[0, 1, 2, 3]
R013	ACC 4/22 paired [0,1,11,12]	ACC	4	0.182	0.72	0.22	929.7	107.63	3.96	placement sensitivity | indices=[0, 1, 11, 12]
R014	ACC 4/22 random [3,7,15,19]	ACC	4	0.182	0.84	0.26	929.9	107.73	3.87	placement sensitivity | indices=[3, 7, 15, 19]
R015	Baseline wave speed measurement	IDM	0	0.000	8.17	2.89	1039.4	130.65	1.79	wave_speed=-5.364 m/s | wave_period=400.10 s
R016	ACC 4/22 delay=0.2s	DelayedACC	4	0.182	1.33	0.49	928.5	108.32	3.21	sensor delay=0.2s (2 steps)
R017	ACC 4/22 delay=0.5s	DelayedACC	4	0.182	5.19	2.04	886.5	119.29	1.77	sensor delay=0.5s (5 steps)
